% comments:
% any line started with '%' - flag can be specified as generic in file_reader_hex
anything less than
length of a line
containing data

% interpreter ignores empty lines as well

% "@" is used to indicate counters for transmission start
% flag can be specified as generic in AV_ST_sender
% must be decimal numbers in increasing order!

% for DHCP_module_tester, the pure DHCP request (UDP layer) is required

% DHCP Offer (35*8+6 bytes long = 286 = x11E)
% with error at the end, so it'll be ignored
@ 70
% UDP header: SRC DST length CRC
0043 0044 011E 0000
% DHCP-header XID
0201 0600 DEAD BEEF
% SECS FLAGS CIADDR
0000 0000 0000 0000
% YIADDR SIADDR
C0A8 0164 C0A8 0101
% GIADDR CHADDR(1)
0000 0000 0022 8F02
% CHADDR(2)
41EE 0000 0000 0000
% CHADDR(3) SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% SNAME (last 4 of 64 octets) BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (last 4 of 128 octets) MAGIC_COOKIE
0000 0000 6382 5363
% DHCP options:
% DHCP offer (3) & subnet mask (6)
3501 0201 04FF FFFF
% Router IP (6) & IP lease time (6)
0003 04C0 A801 0133
% DHCP server (6)
0400 0151 8036 04C0
% DNS server (10)
A801 0106 0801 0203
0401 0203 05FF BAAD 010 1

% DHCP Offer (35*8+6 bytes long = 286 = x11E)
% the exact same offer as from @70, but this time without error: It will be considered
@ 120
% UDP header: SRC DST length CRC
0043 0044 011E 0000
% DHCP-header XID
0201 0600 DEAD BEEF
% SECS FLAGS CIADDR
0000 0000 0000 0000
% YIADDR SIADDR
C0A8 0164 C0A8 0101
% GIADDR CHADDR(1)
0000 0000 0022 8F02
% CHADDR(2)
41EE 0000 0000 0000
% CHADDR(3) SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% SNAME (last 4 of 64 octets) BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (last 4 of 128 octets) MAGIC_COOKIE
0000 0000 6382 5363
% DHCP options:
% DHCP offer (3) & subnet mask (6)
3501 0201 04FF FFFF
% Router IP (6) & IP lease time (6)
0003 04C0 A801 0133
% DHCP server (6)
0400 0151 8036 04C0
% DNS server (10)
A801 0106 0801 0203
0401 0203 05FF BAAD 010 0

% DHCP Offer (35*8+6 bytes long = 286 = x11E)
% from another server
@ 270
% UDP header: SRC DST length CRC
0043 0044 011E 0000
% DHCP-header XID
0201 0600 DEAD BEEF
% SECS FLAGS CIADDR
0000 0000 0000 0000
% YIADDR SIADDR
C0A8 0234 C0A8 0201
% GIADDR CHADDR(1)
0000 0000 0022 8F02
% CHADDR(2)
41EE 0000 0000 0000
% CHADDR(3) SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% SNAME (last 4 of 64 octets) BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (last 4 of 128 octets) MAGIC_COOKIE
0000 0000 6382 5363
% DHCP options:
% DHCP offer (3) & subnet mask (6)
3501 0201 04FF FFFF
% Router IP (6) & IP lease time (6)
0003 04C0 A802 0133
% DHCP server (6)
0400 0151 8036 04C0
% DNS server (10)
A802 0106 0801 0203
0401 0203 05FF BAAD 010 0

% DHCP Acknowledge (with error)
% this packet will be completely ignored
@ 360
% UDP header: SRC DST length CRC
0043 0044 011E 0000
% DHCP-header XID
0201 0600 DEAD BEEF
% SECS FLAGS CIADDR
0000 0000 0000 0000
% YIADDR SIADDR
C0A8 0164 C0A8 0101
% GIADDR CHADDR(1)
0000 0000 0022 8F02
% CHADDR(2)
41EE 0000 0000 0000
% CHADDR(3) SNAME(64 octets = 8 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% SNAME (last 4 of 64 octets) BNAME (128 octets = 16 rows)
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
% BNAME (last 4 of 128 octets) MAGIC_COOKIE
0000 0000 6382 5363
% DHCP options:
% DHCP ackn (3) & IP subnet mask (6)
3501 0501 04FF FFFF
% Router IP (6) & IP lease time (6)
0003 04C0 A801 0133
% DHCP server (6)
0400 0000 5036 04C0
% DNS server (10)
A801 0106 0801 0203
0401 0203 05FF 0000 010 1

% DHCP Acknowledge (without error)
@ 450
% UDP header: SRC DST length CRC
0043 0044 011E 0000
% DHCP-header XID
0201 0600 DEAD BEEF
% SECS FLAGS CIADDR
0000 0000 0000 0000
